testFlag,electionDate,statePostal,countyNumber,FIPSCode,boroughName,assemblyDistrict,electionDistrict,raceNumber,officeID,raceTypeID,searNumber,officeName,seatName,raceTypeParty,raceType,officeDescription,numberOfWinners,numberInRunoff,precinctsReporting,totalPrecincts,candidateNumber,order,party,firstName,middleName,lastName,junior,useJunior,incumbent,voteCount,winner,politicianID,candidateNumber,order,party,firstName,middleName,lastName,junior,useJunior,incumbent,voteCount,winner,politicianID
l,9/13/18,NY,1,0,New,York,,36376,G,D,0,Governor,,Dem,Primary,,1,0,7535,15083,81252,1,Dem,Cynthia,,Nixon,,0,0,337184,,67748,80742,2,Dem,Andrew,,Cuomo,,0,1,637840,X,1506
l,9/13/18,NY,23101,0,Queens,AD23,ED1,36376,G,D,0,Governor,,Dem,Primary,,1,0,1,1,81252,1,Dem,Cynthia,,Nixon,,0,0,43,,67748,80742,2,Dem,Andrew,,Cuomo,,0,1,60,X,1506
l,9/13/18,NY,23102,0,Queens,AD23,ED2,36376,G,D,0,Governor,,Dem,Primary,,1,0,1,1,81252,1,Dem,Cynthia,,Nixon,,0,0,50,,67748,80742,2,Dem,Andrew,,Cuomo,,0,1,81,X,1506
l,9/13/18,NY,23103,0,Queens,AD23,ED3,36376,G,D,0,Governor,,Dem,Primary,,1,0,1,1,81252,1,Dem,Cynthia,,Nixon,,0,0,43,,67748,80742,2,Dem,Andrew,,Cuomo,,0,1,65,X,1506
l,9/13/18,NY,23104,0,Queens,AD23,ED4,36376,G,D,0,Governor,,Dem,Primary,,1,0,1,1,81252,1,Dem,Cynthia,,Nixon,,0,0,11,,67748,80742,2,Dem,Andrew,,Cuomo,,0,1,10,X,1506
l,9/13/18,NY,23105,0,Queens,AD23,ED5,36376,G,D,0,Governor,,Dem,Primary,,1,0,1,1,81252,1,Dem,Cynthia,,Nixon,,0,0,43,,67748,80742,2,Dem,Andrew,,Cuomo,,0,1,73,X,1506
l,9/13/18,NY,23106,0,Queens,AD23,ED6,36376,G,D,0,Governor,,Dem,Primary,,1,0,1,1,81252,1,Dem,Cynthia,,Nixon,,0,0,38,,67748,80742,2,Dem,Andrew,,Cuomo,,0,1,81,X,1506
l,9/13/18,NY,23107,0,Queens,AD23,ED7,36376,G,D,0,Governor,,Dem,Primary,,1,0,1,1,81252,1,Dem,Cynthia,,Nixon,,0,0,37,,67748,80742,2,Dem,Andrew,,Cuomo,,0,1,84,X,1506
l,9/13/18,NY,23108,0,Queens,AD23,ED8,36376,G,D,0,Governor,,Dem,Primary,,1,0,1,1,81252,1,Dem,Cynthia,,Nixon,,0,0,36,,67748,80742,2,Dem,Andrew,,Cuomo,,0,1,95,X,1506
l,9/13/18,NY,23109,0,Queens,AD23,ED9,36376,G,D,0,Governor,,Dem,Primary,,1,0,1,1,81252,1,Dem,Cynthia,,Nixon,,0,0,47,,67748,80742,2,Dem,Andrew,,Cuomo,,0,1,76,X,1506
l,9/13/18,NY,23110,0,Queens,AD23,ED10,36376,G,D,0,Governor,,Dem,Primary,,1,0,1,1,81252,1,Dem,Cynthia,,Nixon,,0,0,61,,67748,80742,2,Dem,Andrew,,Cuomo,,0,1,64,X,1506
